車庫ID	使用中の数	販売数	使用中	査定ID	車名	型式	車体番号
79	1	1	TRUE	17351054	トヨタ	DBA-NCP120	NCP120-2057373
80	1	1	TRUE	18528391	トヨタ	6AA-ZVG11	ZVG11-1014983
81	1	3	TRUE	12266708	トヨタ	3BA-AGH30W	AGH30-0309875
82	1	2	TRUE	18882263	トヨタ	5AA-TZSH35	TZSH35-6002130
83	1	3	TRUE	18594275	トヨタ	6AA-ZWR90W	ZWR90-0024436
84	1	3	TRUE	18611976	トヨタ	6AA-AXAH54	AXAH54-4048072
85	1	2	TRUE	15440493	トヨタ	6AA-ZYX11	ZYX11-2012442
86	1	2	TRUE	17849557	トヨタ	6BA-MXUA80	MXUA80-0024387
87	1	2	TRUE	5408424	トヨタ	DAA-ZVW41W	ZVW41-0004175
88	1	2	TRUE	18741180	トヨタ	DBA-NRE161G	NRE161-8005135
89	1	2	TRUE	18019861	ﾄﾖﾀ	6AA-ZYX11	ZYX11-2016471
90	1	3	TRUE	17729980	ﾄﾖﾀ	DAA-NHP10	NHP10-2111274
91	1	0	TRUE	18344347	ﾄﾖﾀ	DAA-NHP10	NHP10-6341048
92	1	3	TRUE	17183685	ﾄﾖﾀ	DAA-NHP10	NHP10-2504389
93	1	2	TRUE	19061100	ﾄﾖﾀ	5BA-MXPC10G	MXPC10-1023898
94	1	2	TRUE	15429850	ﾄﾖﾀ	DBA-M900A	M900A-0010349
95	1	1	TRUE	17908242	トヨタ	6BA-MXUA80	MXUA80-0013005
96	1	3	TRUE	17530710	ﾄﾖﾀ	3BA-AGH30W	AGH30-9024586
97	1	1	TRUE	19152978	ﾄﾖﾀ	DAA-AVV50	AVV50-1022207
98	1	1	TRUE	17854394	トヨタ	DAA-NHP10	NHP10-6019936
99	1	0	TRUE	18940402	ﾄﾖﾀ	3BA-AGH30W	AGH30-0346458
100	1	2	TRUE	18090882	トヨタ	5BA-M900A	M900A-1043514
101	1	2	TRUE	18557455	ﾄﾖﾀ	3BA-ZRR80G	ZRR80-0666718
102	1	2	TRUE	16636246	ﾄﾖﾀ	DBA-ANH20W	ANH20-8355534
103	1	0	TRUE	18162683	レクサス	6AA-GVF50	GVF50-6008426
104	1	2	TRUE	16082789	トヨタ	6AA-MXPH10	MXPH10-2035864
105	0	2	FALSE
106	1	2	TRUE	16653554	トヨタ	6AA-NHP10	NHP10-2714081
107	1	3	TRUE	18769062	レクサス	DAA-ZWA10	ZWA10-2078455
108	1	2	TRUE	17887354	マツダ	DBA-BM5FS	BM5FS-402071
109	1	0	TRUE	16897953	トヨタ		TRH200-0359670
110	1	1	TRUE	16897940	ニッサン	3BA-KS4E26	KS4E26-105016
111	1	0	TRUE	17299256	トヨタ	3DA-GDJ151W	GDJ151-0009653
112	1	2	TRUE	18126968	トヨタ	6AA-AXAH54	AXAH54-4026652
113	1	1	TRUE	11721978	トヨタ	DBA-SCP100	SCP100-2006726
114	1	2	TRUE	19010440	トヨタ	5BA-MXPB15	MXPB15-3007498
115	1	0	TRUE	17556092	ﾄﾖﾀ	DAA-NHP10	NHP10-2387582
116	1	2	TRUE	17066576	レクサス	6AA-MZAH10	MZAH10-2059618
117	1	0	TRUE	16036316	トヨタ	5BA-A200A	A200A-0027108
118	1	2	TRUE	11537651	トヨタ	DAA-AXVH70	AXVH70-1027992
119	1	2	TRUE	17186711	トヨタ	DAA-NKE165G	NKE165-7072852
120	0	0	FALSE
121	0	2	FALSE
122	0	1	FALSE
123	1	0	TRUE	17453666	トヨタ	DBA-NZT260	NZT260-3211568
124	0	1	FALSE
125	1	1	TRUE	17826170	レクサス	DAA-GVF50	GVF50-6000133
126	0	1	FALSE
127	0	1	FALSE
128	0	0	FALSE
129	0	1	FALSE
130	0	1	FALSE
131	0	1	FALSE
132	1	0	TRUE	16956301	トヨタ	DBA-ZSU60W	ZSU60-0191194
133	0	0	FALSE
134	1	0	TRUE	15539084	レクサス	DAA-GYL20W	GYL20-0010230
135	0	2	FALSE
136	0	2	FALSE
137	0	0	FALSE
138	0	1	FALSE
139	0	3	FALSE
140	1	1	TRUE	17527174	トヨタ	DBA-ZSU60W	ZSU60-0168087
141	1	1	TRUE	13114243	トヨタ	DAA-NKE165	NKE165-7018834
142	0	2	FALSE
143	0	0	FALSE
144	1	2	TRUE	16871747	トヨタ	6AA-MXPJ10	MXPJ10-2040896
145	0	2	FALSE
146	0	1	FALSE
147	0	1	FALSE
148	0	1	FALSE
149	0	2	FALSE
150	0	2	FALSE
151	0	2	FALSE
152	0	2	FALSE
153	0	3	FALSE
154	0	2	FALSE
155	0	2	FALSE
156	0	2	FALSE
157	0	2	FALSE
158	0	0	FALSE
159	0	3	FALSE
160	1	2	TRUE	10842566	トヨタ	6BA-MXUA80	MXUA80-0014352
161	0	1	FALSE
162	0	2	FALSE
163	0	0	FALSE
164	0	2	FALSE
165	0	2	FALSE
166	0	3	FALSE
167	0	2	FALSE
168	0	1	FALSE
169	1	1	TRUE	12990193	ﾄﾖﾀ	5BA-M700A	M700A-0148346
170	0	2	FALSE
171	1	0	TRUE	15113889	トヨタ	DBA-ZSU60W	ZSU60-0180232
172	0	1	FALSE
173	1	1	TRUE	14744293	ﾄﾖﾀ	DBA-ZSU60W	ZSU60-0099053
174	0	1	FALSE
175	0	0	FALSE
